,Geographic Area Name,Median income (dollars)  Estimate  Households,Median income (dollars)  Estimate  Households  One race  White,Median income (dollars)  Estimate  Households  One race  Black or African American,Median income (dollars)  Estimate  Households  One race  American Indian and Alaska Native,Median income (dollars)  Estimate  Households  One race  Asian,Median income (dollars)  Estimate  Households  One race  Native Hawaiian and Other Pacific Islander,Median income (dollars)  Estimate  Households  One race  Some other race,Median income (dollars)  Estimate  Households  Two or more races,Median income (dollars)  Estimate  Hispanic or Latino origin (of any race),"Median income (dollars)  Estimate  White alone, not Hispanic or Latino",Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  15 to 24 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  25 to 44 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  45 to 64 years,Median income (dollars)  Estimate  HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER  65 years and over,Year,tract,geometry
473,"Census Tract 124.02, San Francisco County, California",38333,39167,11744,-,62109,-,(X),(X),(X),40498,25938,98750,22321,15917,2015,124.02,"POLYGON ((-122.421069 37.783816, -122.417707 37.784236, -122.417339 37.782379, -122.417146 37.781447, -122.415505 37.781654, -122.413866 37.781863, -122.413365 37.779862, -122.416292 37.777494, -122.417615 37.7766, -122.418704 37.775645, -122.419219 37.775316, -122.419334 37.77521, -122.419359 37.775432, -122.419765 37.777291, -122.420358 37.780072, -122.420689 37.781955, -122.421069 37.783816))"
474,"Census Tract 124.02, San Francisco County, California",40453,39509,12221,-,87794,-,-,-,11807,41505,25982,89485,35156,14516,2016,124.02,"POLYGON ((-122.421069 37.783816, -122.417707 37.784236, -122.417339 37.782379, -122.417146 37.781447, -122.415505 37.781654, -122.413866 37.781863, -122.413365 37.779862, -122.416292 37.777494, -122.417615 37.7766, -122.418704 37.775645, -122.419219 37.775316, -122.419334 37.77521, -122.419359 37.775432, -122.419765 37.777291, -122.420358 37.780072, -122.420689 37.781955, -122.421069 37.783816))"
475,"Census Tract 124.02, San Francisco County, California",46422,43833,-,-,90703,-,-,-,-,65347,21758,108542,40233,18000,2017,124.02,"POLYGON ((-122.421069 37.783816, -122.417707 37.784236, -122.417339 37.782379, -122.417146 37.781447, -122.415505 37.781654, -122.413866 37.781863, -122.413365 37.779862, -122.416292 37.777494, -122.417615 37.7766, -122.418704 37.775645, -122.419219 37.775316, -122.419334 37.77521, -122.419359 37.775432, -122.419765 37.777291, -122.420358 37.780072, -122.420689 37.781955, -122.421069 37.783816))"
476,"Census Tract 124.02, San Francisco County, California",61736,55284,17772,-,116563,-,-,62206,-,62466,-,104922,50000,16250,2018,124.02,"POLYGON ((-122.421069 37.783816, -122.417707 37.784236, -122.417339 37.782379, -122.417146 37.781447, -122.415505 37.781654, -122.413866 37.781863, -122.413365 37.779862, -122.416292 37.777494, -122.417615 37.7766, -122.418704 37.775645, -122.419219 37.775316, -122.419334 37.77521, -122.419359 37.775432, -122.419765 37.777291, -122.420358 37.780072, -122.420689 37.781955, -122.421069 37.783816))"
477,"Census Tract 125.01, San Francisco County, California",12210,12944,7315,-,19879,-,7035,-,7471,12902,-,11864,12351,12199,2013,125.01,"POLYGON ((-122.414054 37.782794, -122.410765 37.783214, -122.410952 37.784141, -122.41114 37.785075, -122.407853 37.785492, -122.407451 37.784604, -122.408104 37.78402, -122.408952 37.783288, -122.410336 37.782245, -122.412548 37.780508, -122.413365 37.779862, -122.413866 37.781863, -122.414054 37.782794))"
478,"Census Tract 125.01, San Francisco County, California",13164,13773,7346,-,20205,-,8056,-,10203,13895,-,12258,13606,12416,2014,125.01,"POLYGON ((-122.414054 37.782794, -122.410765 37.783214, -122.410952 37.784141, -122.41114 37.785075, -122.407853 37.785492, -122.407451 37.784604, -122.408104 37.78402, -122.408952 37.783288, -122.410336 37.782245, -122.412548 37.780508, -122.413365 37.779862, -122.413866 37.781863, -122.414054 37.782794))"
479,"Census Tract 125.01, San Francisco County, California",11513,11352,10370,37500,12440,-,7468,12396,16014,11128,26600,10330,11325,11875,2010,125.01,"POLYGON ((-122.414054 37.782794, -122.410765 37.783214, -122.410952 37.784141, -122.41114 37.785075, -122.407853 37.785492, -122.407451 37.784604, -122.408104 37.78402, -122.408952 37.783288, -122.410336 37.782245, -122.412548 37.780508, -122.413365 37.779862, -122.413866 37.781863, -122.414054 37.782794))"
480,"Census Tract 125.01, San Francisco County, California",11634,11789,10306,22850,12489,-,15069,95208,15735,11640,35508,9605,12056,11438,2011,125.01,"POLYGON ((-122.414054 37.782794, -122.410765 37.783214, -122.410952 37.784141, -122.41114 37.785075, -122.407853 37.785492, -122.407451 37.784604, -122.408104 37.78402, -122.408952 37.783288, -122.410336 37.782245, -122.412548 37.780508, -122.413365 37.779862, -122.413866 37.781863, -122.414054 37.782794))"
481,"Census Tract 125.01, San Francisco County, California",12555,13342,10411,22889,20465,-,7070,97961,13906,12976,35161,14223,12523,11987,2012,125.01,"POLYGON ((-122.414054 37.782794, -122.410765 37.783214, -122.410952 37.784141, -122.41114 37.785075, -122.407853 37.785492, -122.407451 37.784604, -122.408104 37.78402, -122.408952 37.783288, -122.410336 37.782245, -122.412548 37.780508, -122.413365 37.779862, -122.413866 37.781863, -122.414054 37.782794))"
482,"Census Tract 125.01, San Francisco County, California",16902,17618,10888,-,19911,-,(X),-,20897,15298,-,20300,14979,17679,2015,125.01,"POLYGON ((-122.414054 37.782794, -122.410765 37.783214, -122.410952 37.784141, -122.41114 37.785075, -122.407853 37.785492, -122.407451 37.784604, -122.408104 37.78402, -122.408952 37.783288, -122.410336 37.782245, -122.412548 37.780508, -122.413365 37.779862, -122.413866 37.781863, -122.414054 37.782794))"
483,"Census Tract 125.01, San Francisco County, California",19328,19402,10890,-,21696,-,21734,-,21214,19069,-,22599,14403,19127,2016,125.01,"POLYGON ((-122.414054 37.782794, -122.410765 37.783214, -122.410952 37.784141, -122.41114 37.785075, -122.407853 37.785492, -122.407451 37.784604, -122.408104 37.78402, -122.408952 37.783288, -122.410336 37.782245, -122.412548 37.780508, -122.413365 37.779862, -122.413866 37.781863, -122.414054 37.782794))"
484,"Census Tract 125.01, San Francisco County, California",21412,20498,10208,-,24649,-,25712,-,22396,20253,-,25096,20287,18845,2017,125.01,"POLYGON ((-122.414054 37.782794, -122.410765 37.783214, -122.410952 37.784141, -122.41114 37.785075, -122.407853 37.785492, -122.407451 37.784604, -122.408104 37.78402, -122.408952 37.783288, -122.410336 37.782245, -122.412548 37.780508, -122.413365 37.779862, -122.413866 37.781863, -122.414054 37.782794))"
485,"Census Tract 125.01, San Francisco County, California",22150,20857,13804,-,25208,-,-,-,26029,20599,-,26250,21682,12750,2018,125.01,"POLYGON ((-122.414054 37.782794, -122.410765 37.783214, -122.410952 37.784141, -122.41114 37.785075, -122.407853 37.785492, -122.407451 37.784604, -122.408104 37.78402, -122.408952 37.783288, -122.410336 37.782245, -122.412548 37.780508, -122.413365 37.779862, -122.413866 37.781863, -122.414054 37.782794))"
486,"Census Tract 125.02, San Francisco County, California",12037,11941,7462,-,12313,-,14506,-,9908,13438,11765,10000,11560,12725,2013,125.02,"POLYGON ((-122.41443 37.784657, -122.412782 37.784866, -122.41114 37.785075, -122.410952 37.784141, -122.410765 37.783214, -122.414054 37.782794, -122.414242 37.783724, -122.41443 37.784657))"
487,"Census Tract 125.02, San Francisco County, California",12267,13273,7468,-,16213,-,11875,10801,11969,13982,11528,40081,11207,13571,2014,125.02,"POLYGON ((-122.41443 37.784657, -122.412782 37.784866, -122.41114 37.785075, -122.410952 37.784141, -122.410765 37.783214, -122.414054 37.782794, -122.414242 37.783724, -122.41443 37.784657))"
488,"Census Tract 125.02, San Francisco County, California",11440,9589,11170,-,13808,-,30221,11429,11372,9891,26888,9800,11219,11735,2010,125.02,"POLYGON ((-122.41443 37.784657, -122.412782 37.784866, -122.41114 37.785075, -122.410952 37.784141, -122.410765 37.783214, -122.414054 37.782794, -122.414242 37.783724, -122.41443 37.784657))"
489,"Census Tract 125.02, San Francisco County, California",12370,9991,12440,-,14636,-,33750,10909,13214,10791,25990,9477,12658,13049,2011,125.02,"POLYGON ((-122.41443 37.784657, -122.412782 37.784866, -122.41114 37.785075, -122.410952 37.784141, -122.410765 37.783214, -122.414054 37.782794, -122.414242 37.783724, -122.41443 37.784657))"
490,"Census Tract 125.02, San Francisco County, California",12240,11003,12042,-,13553,-,14405,10417,9667,11751,26270,10347,12679,12857,2012,125.02,"POLYGON ((-122.41443 37.784657, -122.412782 37.784866, -122.41114 37.785075, -122.410952 37.784141, -122.410765 37.783214, -122.414054 37.782794, -122.414242 37.783724, -122.41443 37.784657))"
491,"Census Tract 125.02, San Francisco County, California",11925,12264,(X),-,12232,-,(X),10625,(X),12665,(X),(X),(X),(X),2015,125.02,"POLYGON ((-122.41443 37.784657, -122.412782 37.784866, -122.41114 37.785075, -122.410952 37.784141, -122.410765 37.783214, -122.414054 37.782794, -122.414242 37.783724, -122.41443 37.784657))"
492,"Census Tract 125.02, San Francisco County, California",11971,12566,12292,-,11910,-,-,-,-,12737,-,-,12001,11812,2016,125.02,"POLYGON ((-122.41443 37.784657, -122.412782 37.784866, -122.41114 37.785075, -122.410952 37.784141, -122.410765 37.783214, -122.414054 37.782794, -122.414242 37.783724, -122.41443 37.784657))"
493,"Census Tract 125.02, San Francisco County, California",12479,13479,16740,-,12236,-,-,-,-,12952,-,32966,13080,11691,2017,125.02,"POLYGON ((-122.41443 37.784657, -122.412782 37.784866, -122.41114 37.785075, -122.410952 37.784141, -122.410765 37.783214, -122.414054 37.782794, -122.414242 37.783724, -122.41443 37.784657))"
494,"Census Tract 125.02, San Francisco County, California",14976,-,23456,-,14602,-,-,-,50176,12842,-,33316,-,11864,2018,125.02,"POLYGON ((-122.41443 37.784657, -122.412782 37.784866, -122.41114 37.785075, -122.410952 37.784141, -122.410765 37.783214, -122.414054 37.782794, -122.414242 37.783724, -122.41443 37.784657))"
495,"Census Tract 126.01, San Francisco County, California",92066,98870,-,-,56983,-,-,21875,87639,99527,-,98389,109402,63828,2013,126.01,"POLYGON ((-122.441905 37.803744, -122.437138 37.804352, -122.436799 37.802715, -122.436274 37.800814, -122.441177 37.80019, -122.441368 37.801126, -122.441754 37.802985, -122.441905 37.803744))"
496,"Census Tract 126.01, San Francisco County, California",97629,101797,-,-,72361,-,-,-,90764,108264,-,101875,98500,67417,2014,126.01,"POLYGON ((-122.441905 37.803744, -122.437138 37.804352, -122.436799 37.802715, -122.436274 37.800814, -122.441177 37.80019, -122.441368 37.801126, -122.441754 37.802985, -122.441905 37.803744))"
497,"Census Tract 126.01, San Francisco County, California",106014,105980,-,-,115089,-,-,108207,83000,106791,79896,107988,101528,85804,2010,126.01,"POLYGON ((-122.441905 37.803744, -122.437138 37.804352, -122.436799 37.802715, -122.436274 37.800814, -122.441177 37.80019, -122.441368 37.801126, -122.441754 37.802985, -122.441905 37.803744))"
498,"Census Tract 126.01, San Francisco County, California",93787,93088,-,-,95000,-,-,113056,93026,93167,-,95833,103487,66563,2011,126.01,"POLYGON ((-122.441905 37.803744, -122.437138 37.804352, -122.436799 37.802715, -122.436274 37.800814, -122.441177 37.80019, -122.441368 37.801126, -122.441754 37.802985, -122.441905 37.803744))"
499,"Census Tract 126.01, San Francisco County, California",94191,96958,-,-,71771,-,-,21970,88571,97708,-,96042,106971,88462,2012,126.01,"POLYGON ((-122.441905 37.803744, -122.437138 37.804352, -122.436799 37.802715, -122.436274 37.800814, -122.441177 37.80019, -122.441368 37.801126, -122.441754 37.802985, -122.441905 37.803744))"
500,"Census Tract 126.01, San Francisco County, California",101875,111472,-,-,57218,-,-,-,100682,111500,-,111284,110469,49464,2015,126.01,"POLYGON ((-122.441905 37.803744, -122.437138 37.804352, -122.436799 37.802715, -122.436274 37.800814, -122.441177 37.80019, -122.441368 37.801126, -122.441754 37.802985, -122.441905 37.803744))"
501,"Census Tract 126.01, San Francisco County, California",125139,130767,-,-,59410,-,-,-,130385,130302,-,126910,136000,-,2016,126.01,"POLYGON ((-122.441905 37.803744, -122.437138 37.804352, -122.436799 37.802715, -122.436274 37.800814, -122.441177 37.80019, -122.441368 37.801126, -122.441754 37.802985, -122.441905 37.803744))"
502,"Census Tract 126.01, San Francisco County, California",129139,133438,-,-,77679,-,-,-,165521,128917,-,134706,134833,82625,2017,126.01,"POLYGON ((-122.441905 37.803744, -122.437138 37.804352, -122.436799 37.802715, -122.436274 37.800814, -122.441177 37.80019, -122.441368 37.801126, -122.441754 37.802985, -122.441905 37.803744))"
503,"Census Tract 126.01, San Francisco County, California",143000,150129,-,-,111875,-,-,-,138281,151595,-,161667,138705,-,2018,126.01,"POLYGON ((-122.441905 37.803744, -122.437138 37.804352, -122.436799 37.802715, -122.436274 37.800814, -122.441177 37.80019, -122.441368 37.801126, -122.441754 37.802985, -122.441905 37.803744))"
504,"Census Tract 126.02, San Francisco County, California",133155,132917,-,-,108750,-,-,159559,148472,132976,-,158382,126324,58821,2013,126.02,"POLYGON ((-122.441909 37.807316, -122.439690935158 37.8086811541357, -122.425942 37.810979, -122.425041162157 37.811001508766, -122.424876 37.810799, -122.426671 37.809639, -122.426613 37.808152, -122.425628 37.806456, -122.425209 37.804133, -122.430045 37.803518, -122.431679 37.803267, -122.436799 37.802715, -122.437138 37.804352, -122.441905 37.803744, -122.441909 37.807316))"
505,"Census Tract 126.02, San Francisco County, California",131302,130865,-,-,109900,-,-,200568,"250,000+",130656,-,132697,102344,62331,2014,126.02,"POLYGON ((-122.441909 37.807316, -122.439690935158 37.8086811541357, -122.425942 37.810979, -122.425041162157 37.811001508766, -122.424876 37.810799, -122.426671 37.809639, -122.426613 37.808152, -122.425628 37.806456, -122.425209 37.804133, -122.430045 37.803518, -122.431679 37.803267, -122.436799 37.802715, -122.437138 37.804352, -122.441905 37.803744, -122.441909 37.807316))"
506,"Census Tract 126.02, San Francisco County, California",126086,141538,-,-,77885,-,-,96827,164055,127204,79808,150600,143286,52396,2010,126.02,"POLYGON ((-122.441909 37.807316, -122.439690935158 37.8086811541357, -122.425942 37.810979, -122.425041162157 37.811001508766, -122.424876 37.810799, -122.426671 37.809639, -122.426613 37.808152, -122.425628 37.806456, -122.425209 37.804133, -122.430045 37.803518, -122.431679 37.803267, -122.436799 37.802715, -122.437138 37.804352, -122.441905 37.803744, -122.441909 37.807316))"
507,"Census Tract 126.02, San Francisco County, California",129716,131280,-,-,81691,-,-,101953,167607,131190,92723,152818,146250,58715,2011,126.02,"POLYGON ((-122.441909 37.807316, -122.439690935158 37.8086811541357, -122.425942 37.810979, -122.425041162157 37.811001508766, -122.424876 37.810799, -122.426671 37.809639, -122.426613 37.808152, -122.425628 37.806456, -122.425209 37.804133, -122.430045 37.803518, -122.431679 37.803267, -122.436799 37.802715, -122.437138 37.804352, -122.441905 37.803744, -122.441909 37.807316))"
508,"Census Tract 126.02, San Francisco County, California",127488,130020,-,-,82813,-,-,155682,4191,130246,96167,134205,127059,59005,2012,126.02,"POLYGON ((-122.441909 37.807316, -122.439690935158 37.8086811541357, -122.425942 37.810979, -122.425041162157 37.811001508766, -122.424876 37.810799, -122.426671 37.809639, -122.426613 37.808152, -122.425628 37.806456, -122.425209 37.804133, -122.430045 37.803518, -122.431679 37.803267, -122.436799 37.802715, -122.437138 37.804352, -122.441905 37.803744, -122.441909 37.807316))"
509,"Census Tract 126.02, San Francisco County, California",128750,123011,-,-,(X),-,-,201375,151641,122727,-,131429,127344,57188,2015,126.02,"POLYGON ((-122.441909 37.807316, -122.439690935158 37.8086811541357, -122.425942 37.810979, -122.425041162157 37.811001508766, -122.424876 37.810799, -122.426671 37.809639, -122.426613 37.808152, -122.425628 37.806456, -122.425209 37.804133, -122.430045 37.803518, -122.431679 37.803267, -122.436799 37.802715, -122.437138 37.804352, -122.441905 37.803744, -122.441909 37.807316))"
510,"Census Tract 126.02, San Francisco County, California",122212,121394,-,-,-,-,-,205875,-,121667,-,134211,149028,56250,2016,126.02,"POLYGON ((-122.441909 37.807316, -122.439690935158 37.8086811541357, -122.425942 37.810979, -122.425041162157 37.811001508766, -122.424876 37.810799, -122.426671 37.809639, -122.426613 37.808152, -122.425628 37.806456, -122.425209 37.804133, -122.430045 37.803518, -122.431679 37.803267, -122.436799 37.802715, -122.437138 37.804352, -122.441905 37.803744, -122.441909 37.807316))"
511,"Census Tract 126.02, San Francisco County, California",129196,126250,-,-,-,-,-,-,-,128125,-,152361,129792,41875,2017,126.02,"POLYGON ((-122.441909 37.807316, -122.439690935158 37.8086811541357, -122.425942 37.810979, -122.425041162157 37.811001508766, -122.424876 37.810799, -122.426671 37.809639, -122.426613 37.808152, -122.425628 37.806456, -122.425209 37.804133, -122.430045 37.803518, -122.431679 37.803267, -122.436799 37.802715, -122.437138 37.804352, -122.441905 37.803744, -122.441909 37.807316))"
512,"Census Tract 126.02, San Francisco County, California",139063,143917,-,-,94688,-,-,-,84896,144750,-,157566,146023,46705,2018,126.02,"POLYGON ((-122.441909 37.807316, -122.439690935158 37.8086811541357, -122.425942 37.810979, -122.425041162157 37.811001508766, -122.424876 37.810799, -122.426671 37.809639, -122.426613 37.808152, -122.425628 37.806456, -122.425209 37.804133, -122.430045 37.803518, -122.431679 37.803267, -122.436799 37.802715, -122.437138 37.804352, -122.441905 37.803744, -122.441909 37.807316))"
513,"Census Tract 129.01, San Francisco County, California",110741,109295,-,-,144643,-,-,91477,31389,109487,108542,118152,171023,55526,2013,129.01,"POLYGON ((-122.430045 37.803518, -122.425209 37.804133, -122.424835 37.802268, -122.424464 37.800402, -122.42929 37.799788, -122.429667 37.801654, -122.430045 37.803518))"
514,"Census Tract 129.01, San Francisco County, California",117778,114762,-,-,161375,-,-,107917,122344,114107,-,122036,147438,32396,2014,129.01,"POLYGON ((-122.430045 37.803518, -122.425209 37.804133, -122.424835 37.802268, -122.424464 37.800402, -122.42929 37.799788, -122.429667 37.801654, -122.430045 37.803518))"
515,"Census Tract 129.01, San Francisco County, California",84949,84611,-,-,125833,-,-,-,83000,85481,58844,93235,84688,22143,2010,129.01,"POLYGON ((-122.430045 37.803518, -122.425209 37.804133, -122.424835 37.802268, -122.424464 37.800402, -122.42929 37.799788, -122.429667 37.801654, -122.430045 37.803518))"
516,"Census Tract 129.01, San Francisco County, California",92820,86995,-,-,153359,-,-,116359,85054,90735,55385,108750,102500,30972,2011,129.01,"POLYGON ((-122.430045 37.803518, -122.425209 37.804133, -122.424835 37.802268, -122.424464 37.800402, -122.42929 37.799788, -122.429667 37.801654, -122.430045 37.803518))"
